Country Name|Country Code|Indicator Name|Indicator Code|1960|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|
Cambodia|KHM|Intentional homicides, male (per 100,000 male)|VC.IHR.PSRC.MA.P5|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Cambodia|KHM|Internally displaced persons, new displacement associated with conflict and violence (number of cases)|VC.IDP.NWCV|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Cambodia|KHM|High-technology exports (% of manufactured exports)|TX.VAL.TECH.MF.ZS||||||||||||||||||||||||||||||||||||||||||||||||0.046797643|0.091650036|0.208915176|0.153409396|0.114782587|0.259104012|1.212855152|0.505628376|1.535160367|1.858680921|1.742382521|1.409278881|1.194021544|2.283074805||
Cambodia|KHM|Export value index (2000 = 100)|TX.VAL.MRCH.XD.WD|||||||||||||||||||||1.141943588|0.713714742|0.856457691|1.070572114|1.284686536|1.427429485|1.498800959|1.570172433|2.283887176|3.140344867|6.137946785|15.20212402|18.91344068|20.26949869|34.97202238|61.53492993|46.34911681|52.97041921|57.57654262|81.25489577|100|107.9248541|138.3996143|152.4338966|201.3739578|222.4973519|265.7430931|294.2506787|338.838673|302.0040799|370.160744|482.5012871|564.1134454|479.7495602|492.7112635|614.8047691|724.6966538|811.6945218|914.0477659|1066.945298|1238.975227||
Cambodia|KHM|Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)|TX.VAL.MRCH.R6.ZS||||0.456621005|0.269179004|5.638665132|10.06493506|16.07795371|||11.31676362||||||||||||0.092885008|0.36847151|0.942195655|0.018878348|0.01672594||0.180721791||0.131012093|0.207434312|0.046814425|0.070834981|0.067085511|0.021482003|0.021925532|0.028762264|0.025709695|0.118262408|0.02046814|0.015999757|0.023119464|0.023510521|0.05057439|0.032819214|0.051708127|0.152571026|0.179061738|0.090236145|0.119253319|0.150122843|0.353630907|0.709794243|0.312896642|0.379648069|0.241318394|0.40496888|0.438407239|0.459377079|0.480105754||
Cambodia|KHM|Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)|TX.VAL.MRCH.R2.ZS|||0.183823529|1.826484018|2.69179004|4.257767549||0.243605359|1.254275941||||||||||||||||5.277688742|11.13822539|1.130198943|0.46400925||||||0.340150881||0.001018196|5.76841586|0.516122847|0.332083557|0.089417918|0.041984857|0.044480861|0.055848563|0.070384941|0.166209645|0.181407968|0.299460037|0.380014043|0.550441678|0.364582409|0.460380085|0.801975077|0.677507381|1.129788436|1.284274133|0.792510723|0.804624941|0.715145084|0.573711121|0.621113874|0.489881358||
Cambodia|KHM|Merchandise exports (current US$)|TX.VAL.MRCH.CD.WT|70000000|63000000|54000000|89000000|88000000|105000000|67000000|83000000|89000000|64000000|39000000|11000000|7000000|15000000|19000000|5000000|4000000|15000000|15000000|15000000|16000000|10000000|12000000|15000000|18000000|20000000|21000000|22000000|32000000|44000000|86000000|213000000|265000000|284000000|490000000|855000000|644000000|736000000|800000000|1129000000|1389000000|1500000000|1923000000|2118000000|2798000000|3092000000|3692000000|4088000000|4708000000|4196000000|5143000000|6704000000|7838000000|6666000000|6846000000|8542000000|10069000000|11278000000|12700000000|14825000000|17716000000|17362000000|
Cambodia|KHM|Insurance and financial services (% of commercial service exports)|TX.VAL.INSF.ZS.WT||||||||||||||||||||||||||||||||||0|||0||0|0|0|0|0|0.361242588|0.48357109|1.074390325|1.124690134|0.931009858|0.439106416|0.383065246|0.238881994|1.209912674|0.671830246|0.604067236|0.686971548|0.898962074|0.235895622|0.198989052|0.343750129|0.559191138|3.456687448|6.444461296|
Cambodia|KHM|Agricultural raw materials exports (% of merchandise exports)|TX.VAL.AGRI.ZS.UN|||44.72615669|30.40078146|17.39790618|35.92407185|44.18998532|33.04339293|27.75288551|49.44893997|24.41169743|11.48454968|33.59430774||||||||||||||||||||||||||||2.872913228|2.346688038|2.155543595|2.106283394|1.765854543|1.5810819|1.627799963|1.571656377|0.901295296|1.162670084|2.286783839|3.689317411|3.306363335|3.552546195|3.787027078|2.131684022|2.039285631|2.859660611|2.207479049|1.685827438|1.729230804|2.550528033|
Cambodia|KHM|Net barter terms of trade index (2000 = 100)|TT.PRI.MRCH.XD.WD|||||||||||||||||||||||||||||||||||||||||100|102.3161289|106.5700479|99.6757241|93.24094065|87.55661383|84.20997475|80.19873902|73.68075235|79.1691008|73.15303727|66.59283248|68.76024341|69.62646635|69.18768209|75.10958051|76.62480848|73.36173308|69.49998919|71.13143629|73.68982879||
Cambodia|KHM|Computer, communications and other services (% of commercial service imports)|TM.VAL.OTHR.ZS.WT|||||||||||||||||||||||||||||||||75.47169811|49.45192291|36.32218845|44.72084024|41.11164351|37.98024149|30.0695035|31.04953156|24.25321439|27.80862389|24.77784519|28.95932499|25.37069926|20.71342499|19.76663336|23.85680511|21.09951721|22.48118412|24.20337643|19.63434599|18.84874087|16.05362639|19.79953653|15.86036414|13.94076103|13.36607696|16.27948121|14.57617115|18.49421131|17.98138866|
Cambodia|KHM|Merchandise imports by the reporting economy, residual (% of total merchandise imports)|TM.VAL.MRCH.RS.ZS|6.830309498|8.230452675|8.113391984|7.561436673|8.438287154|12.35839341|9.073900842||6.090026478||7.719094602|||||||||||0.308784931|0.043299896|0.211269959|7.421522518|10.02425475|23.5941954|45.87523303|42.56967566|15.86451851|2.856285559|0.246600851|0.124757963|0.045476189|0.061471362|0.132523053|0.125118697|0.258858515|4.473539677|0.226071426|0.021947108|0.002748534|0.000419871|0.002211772|0.000217776|8.50594E-05|0.005833225|0.202060418|0.046900718|0.169758991|0.003295111|0.301723455|0.58897778|0.232340647|6.266869421|6.014278786|5.503108113|4.997071263|4.33282537|3.833134275|3.667544564||
