Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.0000421277,98.9728231098,98.9444520048,98.9148540856,98.8839480193,98.8516451214,98.8178485056,98.7824521131,98.7453396014,98.7063830663,98.6654415692,98.6223594337,98.614279727,98.606201344,98.5185761701,98.431106592,98.3437921956,98.2566325683,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,98.169627299,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9999578723,0.9885363474,0.9766313887,0.9642116396,0.9512429715,0.9376881711,0.9235065833,0.9086537043,0.8930807149,0.8767339444,0.8595542529,0.841476316,0.8008617371,0.7602538124,0.8080493617,0.8557600407,0.9033860751,0.95092769,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,0.9983851096,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0.0386405429,0.0789166065,0.1209342748,0.1648090091,0.2106667074,0.2586449111,0.3088941826,0.3615796837,0.4168829893,0.4750041779,0.5361642502,0.5848585359,0.6335448436,0.6733744681,0.7131333673,0.7528217293,0.7924397417,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,0.8319875914,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.6935312831389,25.4173029338282,28.1410745847296,30.8648462354189,33.5886178861082,36.3123895370095,39.0361611876988,41.7599328383881,44.4837044892895,47.2074761399788,49.9312477906681,52.6550194415695,55.3787910922588,54.254892509438,53.1309939266172,52.0070953435843,50.8811737573701,49.7567694235419,48.6323650899258,47.5079607560976,46.3835564222694,45.2591520886532,44.134747754825,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.7,11.9842583333,13.2685166667,14.552775,15.8370333333,17.1212916667,18.40555,19.6898083333,20.9740666667,22.258325,23.5425833333,24.8268416667,26.1111,25.5811818182,25.0512636364,24.5213454545,23.9904734266,23.4603167832,22.9301601399,22.4000034965,21.8698468531,21.3396902098,20.8095335664,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,..,..
Afghanistan,AFG,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.8876889849,32.3549091073,35.8221292297,39.2893493521,42.7565694744,46.2237895968,49.6910097192,53.1582298416,56.625449964,60.0926700864,63.5598902088,67.0271103312,70.4943304536,69.0636658158,67.6330011781,66.2023365403,64.769096724,63.3377882916,61.9064798592,60.4751714268,59.0438629945,57.6125545621,56.1812461297,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,..,..
Afghanistan,AFG,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.9,..,..,..,..,..
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.17141501,28.19936611,30.23638459,32.27372204,34.32855936,36.40150061,38.47545989,40.87574634,43.31114546,45.78160949,48.28708366,50.8278463,53.4035172,56.01404291,58.65937353,61.33978081,64.0548831,66.80870335,69.60193058,72.43421885,75.09141325,..
